Gender,Age,Daily meals frequency,Physical exercise,Height,Weight,BMR,Carbs,Proteins,Fats,Calories,BMI
0,29,3,0,165,101,1901.25,285.188,114.075,76.05,2281.502,37.09825528
1,25,3,4,165,53,1275.25,302.872,121.149,80.766,2422.978,19.46740129
0,23,2,0,170,70,1652.5,247.875,99.15,66.1,1983,24.22145329
0,22,3,0,168,112,2065,309.75,123.9,82.6,2478,39.68253968
0,19,3,2,175,67,1673.75,324.289,129.716,86.477,2594.313,21.87755102
0,24,2,0,165,70,1616.25,242.438,96.975,64.65,1939.502,25.71166208
0,30,3,0,155,90,1723.75,258.562,103.425,68.95,2068.498,37.46097815
0,16,4,0,157,73,1636.25,245.438,98.175,65.45,1963.502,29.61580592
0,23,4,0,183,110,2133.75,320.062,128.025,85.35,2560.498,32.84660635
0,23,3,0,168,49,1430,214.5,85.8,57.2,1716,17.36111111
0,32,2,0,165,46,1336.25,200.438,80.175,53.45,1603.502,16.89623508
0,18,2,1,180,110,2140,367.812,147.125,98.083,2942.495,33.95061728
1,22,3,0,155,43,1127.75,169.162,67.665,45.11,1353.298,17.89802289
0,25,3,3,173,69,1651.25,356.051,142.42,94.947,2848.407,23.05456246
0,26,3,0,168,52,1445,216.75,86.7,57.8,1734,18.42403628
0,22,2,0,165,75,1676.25,251.438,100.575,67.05,2011.502,27.54820937
0,20,3,0,170,60,1567.5,235.125,94.05,62.7,1881,20.76124567
0,24,2,0,170,90,1847.5,277.125,110.85,73.9,2217,31.14186851
1,44,4,0,165,92,1570.25,235.538,94.215,62.81,1884.302,33.79247016
0,21,2,1,168,90,1850,317.969,127.188,84.792,2543.756,31.8877551
0,34,3,0,155,88,1683.75,252.562,101.025,67.35,2020.498,36.62851197
0,20,3,0,163,49,1413.75,212.062,84.825,56.55,1696.498,18.44254582
0,36,3,0,155,120,1993.75,299.062,119.625,79.75,2392.498,49.94797086
1,28,2,0,157,75,1430.25,214.538,85.815,57.21,1716.302,30.42719786
0,21,3,2,168,65,1600,310,124,82.667,2480.003,23.03004535
0,22,2,0,168,105,1995,299.25,119.7,79.8,2394,37.20238095
1,22,3,0,163,61,1357.75,203.662,81.465,54.31,1629.298,22.95908766
0,24,4,1,173,61,1576.25,270.918,108.367,72.245,2167.345,20.38156971
0,24,2,0,168,77,1705,255.75,102.3,68.2,2046,27.28174603
1,52,3,0,160,78,1359,203.85,81.54,54.36,1630.8,30.46875
0,21,4,4,180,64,1665,395.438,158.175,105.45,3163.502,19.75308642
0,51,3,0,170,51,1322.5,198.375,79.35,52.9,1587,17.64705882
0,30,2,1,168,91,1815,311.953,124.781,83.188,2495.628,32.24206349
0,21,3,0,160,45,1350,202.5,81,54,1620,17.578125
0,26,2,0,163,47,1363.75,204.562,81.825,54.55,1636.498,17.68978885
0,24,3,0,163,107,1973.75,296.062,118.425,78.95,2368.498,40.27249802
0,22,3,0,165,110,2026.25,303.938,121.575,81.05,2431.502,40.4040404
1,29,2,1,163,82,1532.75,263.441,105.377,70.251,2107.531,30.86303587
0,21,3,0,168,67,1620,243,97.2,64.8,1944,23.73866213
0,22,3,0,173,80,1776.25,266.438,106.575,71.05,2131.502,26.7299275
1,32,3,0,142,96,1526.5,228.975,91.59,61.06,1831.8,47.60960127
1,37,2,0,155,78,1402.75,210.412,84.165,56.11,1683.298,32.46618106
0,25,3,0,160,104,1920,288,115.2,76.8,2304,40.625
1,24,2,0,165,61,1360.25,204.038,81.615,54.41,1632.302,22.40587695
0,35,3,0,163,62,1468.75,220.312,88.125,58.75,1762.498,23.33546614
1,29,3,0,152,98,1624,243.6,97.44,64.96,1948.8,42.41689751
0,26,2,1,173,96,1916.25,329.355,131.742,87.828,2634.84,32.07591299
0,26,3,0,170,94,1877.5,281.625,112.65,75.1,2253,32.52595156
1,34,2,0,152,58,1199,179.85,71.94,47.96,1438.8,25.10387812
0,28,3,0,170,109,2017.5,302.625,121.05,80.7,2421,37.71626298
1,27,3,0,157,77,1455.25,218.288,87.315,58.21,1746.302,31.2385898
1,21,2,0,163,92,1672.75,250.912,100.365,66.91,2007.298,34.62682073
0,44,3,0,157,55,1316.25,197.438,78.975,52.65,1579.502,22.31327843
1,22,4,0,157,58,1290.25,193.538,77.415,51.61,1548.302,23.53036634
1,35,3,0,160,80,1464,219.6,87.84,58.56,1756.8,31.25
1,24,3,0,168,103,1799,269.85,107.94,71.96,2158.8,36.49376417
1,40,3,0,142,82,1346.5,201.975,80.79,53.86,1615.8,40.66653442
1,21,4,0,142,80,1421.5,213.225,85.29,56.86,1705.8,39.67466772
1,22,2,0,157,48,1190.25,178.538,71.415,47.61,1428.302,19.47340663
1,22,2,0,155,45,1147.75,172.162,68.865,45.91,1377.298,18.73048907
1,23,3,1,168,65,1424,244.75,97.9,65.267,1958.003,23.03004535
1,21,4,1,157,50,1215.25,208.871,83.548,55.699,1670.967,20.28479857
0,23,4,4,170,77,1722.5,409.094,163.638,109.092,3272.756,26.64359862
0,23,4,1,168,85,1790,307.656,123.062,82.042,2461.25,30.11621315
0,21,3,3,170,60,1562.5,336.914,134.766,89.844,2695.316,20.76124567
1,20,3,0,160,65,1389,208.35,83.34,55.56,1666.8,25.390625
0,22,3,0,165,40,1326.25,198.938,79.575,53.05,1591.502,14.69237833
0,30,4,0,165,103,1916.25,287.438,114.975,76.65,2299.502,37.8328742
1,20,3,0,165,46,1230.25,184.538,73.815,49.21,1476.302,16.89623508
1,30,3,0,152,99,1629,244.35,97.74,65.16,1954.8,42.84972299
0,36,3,0,168,51,1385,207.75,83.1,55.4,1662,18.06972789
0,23,2,0,160,41,1300,195,78,52,1560,16.015625
0,19,3,0,155,99,1868.75,280.312,112.125,74.75,2242.498,41.20707596
0,25,3,0,157,113,1991.25,298.688,119.475,79.65,2389.502,45.84364477
0,22,4,0,175,81,1798.75,269.812,107.925,71.95,2158.498,26.44897959
0,41,3,0,163,101,1828.75,274.312,109.725,73.15,2194.498,38.01422711
0,32,3,0,168,117,2065,309.75,123.9,82.6,2478,41.45408163
0,21,3,0,168,55,1500,225,90,60,1800,19.48696145
1,36,3,0,160,44,1099,164.85,65.94,43.96,1318.8,17.1875
0,19,2,0,160,44,1350,202.5,81,54,1620,17.1875
0,32,4,0,173,106,1986.25,297.938,119.175,79.45,2383.502,35.41715393
1,18,3,0,145,69,1345.25,201.788,80.715,53.81,1614.302,32.81807372
1,19,2,1,157,54,1265.25,217.465,86.986,57.991,1739.723,21.90758246
0,18,2,1,163,71,1643.75,282.52,113.008,75.339,2260.163,26.72287252
0,23,3,0,165,53,1451.25,217.688,87.075,58.05,1741.502,19.46740129
1,21,4,0,160,97,1704,255.6,102.24,68.16,2044.8,37.890625
